A0A009GMG1	unreviewed	LysM domain-containing protein	1310618	Acinetobacter baumannii 118362	276	
A0A009HQA2	unreviewed	LysM domain-containing protein	1310613	Acinetobacter baumannii (strain 1295743)	276	
A0A009I1F5	unreviewed	LysM domain-containing protein	1310608	Acinetobacter sp. 1295259	275	
A0A009IS66	unreviewed	LysM domain-containing protein	1310613	Acinetobacter baumannii (strain 1295743)	674	
A0A009NNL7	unreviewed	LysM domain-containing protein	1310652	Acinetobacter sp. 1475718	275	
A0A009QP33	unreviewed	LysM domain-containing protein	1310607	Acinetobacter baumannii 625974	276	
A0A009QT02	unreviewed	LysM domain-containing protein	1310637	Acinetobacter sp. 809848	275	
A0A009T8Z0	unreviewed	LysM domain-containing protein	1310630	Acinetobacter baumannii 99063	276	
A0A009YK79	unreviewed	LysM domain-containing protein	1310601	Acinetobacter sp. 479375	219	
A0A010JH83	unreviewed	LysM domain-containing protein	1310681	Acinetobacter sp. 1542444	275	
A0A010SV21	unreviewed	LysM domain-containing protein	1042209	Pseudomonas fluorescens HK44	285	
A0A011N9T4	unreviewed	LysM domain-containing protein	85402	Mannheimia granulomatis	417	
A0A011NQN6	unreviewed	LysM domain-containing protein	1454003	Candidatus Accumulibacter appositus	301	
A0A011PH29	unreviewed	LysM domain-containing protein	1454001	Candidatus Accumulibacter adjunctus	347	
A0A011PHE4	unreviewed	LysM domain-containing protein	1454000	Candidatus Accumulibacter sp. SK-11	338	
A0A011QZ96	unreviewed	LysM domain-containing protein	522306	Accumulibacter regalis	318	
A0A011TXA6	unreviewed	LysM domain-containing protein	69279	Aquamicrobium defluvii	415	
A0A011UHW4	unreviewed	LysM domain-containing protein	529	Brucella anthropi	438	
A0A013S472	unreviewed	LysM domain-containing protein	1310791	Acinetobacter sp. 742879	275	
A0A013SZH5	unreviewed	LysM domain-containing protein	1310764	Acinetobacter sp. 826659	275	
A0A014BFB9	unreviewed	LysM domain-containing protein	1310912	Acinetobacter sp. 25977_8	262	
A0A014CNU1	unreviewed	LysM domain-containing protein	1310911	Acinetobacter sp. 25977_7	262	
A0A014CU67	unreviewed	LysM domain-containing protein	1310907	Acinetobacter sp. 25977_3	262	
A0A014D6I1	unreviewed	LysM domain-containing protein	1310910	Acinetobacter sp. 25977_6	279	
A0A014DA08	unreviewed	LysM domain-containing protein	1310908	Acinetobacter sp. 25977_4	279	
A0A014EKT6	unreviewed	LysM domain-containing protein	1310905	Acinetobacter sp. 25977_1	279	
A0A014FEV9	unreviewed	LysM domain-containing protein	1310906	Acinetobacter sp. 25977_2	279	
A0A014FHS2	unreviewed	LysM domain-containing protein	1310914	Acinetobacter sp. 25977_10	262	
A0A014NYP0	unreviewed	LysM domain-containing protein	1457173	Comamonas aquatica DA1877	287	
A0A016QMS0	unreviewed	LysM domain-containing protein	1476583	Deinococcus phoenicis	386	
A0A016QNY1	unreviewed	LysM domain-containing protein	1476583	Deinococcus phoenicis	470	
A0A016XH81	unreviewed	LysM domain-containing protein	1458275	Hylemonella gracilis str. Niagara R	218	
A0A017HAY9	unreviewed	LysM domain-containing protein	1122180	Limimaricola hongkongensis DSM 17492	423	
A0A022J5M0	unreviewed	LysM domain-containing protein	1310723	Acinetobacter sp. 1564232	275	
A0A022PL41	unreviewed	LysM domain-containing protein	2805098	Photorhabdus aegyptia	331	
A0A023L653	unreviewed	LysM domain-containing protein	562	Escherichia coli	250	
A0A023WUF8	unreviewed	LysM domain-containing protein	316	Stutzerimonas stutzeri	284	
A0A023Y567	unreviewed	LysM domain-containing protein	216778	Stenotrophomonas rhizophila	260	
A0A024HDG6	unreviewed	LysM domain-containing protein	1301098	Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13)	293	
A0A024LS27	unreviewed	LysM domain-containing protein	165694	Bartonella schoenbuchensis	388	
A0A024YX60	unreviewed	LysM domain-containing protein	1460244	Streptomyces sp. PCS3-D2	331	
A0A031FRN3	unreviewed	LysM domain-containing protein	1470589	Pseudomonas sp. RIT288	293	
A0A031GS16	unreviewed	LysM domain-containing protein	29581	Janthinobacterium lividum	309	
A0A031IN00	unreviewed	LysM domain-containing protein	1470593	Pseudomonas sp. RIT357	278	
A0A031IQI6	unreviewed	LysM domain-containing protein	1468410	Delftia sp. RIT313	292	
A0A031LJJ5	unreviewed	LysM domain-containing protein	466088	Acinetobacter sp. Ver3	279	
A0A034T2W8	unreviewed	LysM domain-containing protein	1263550	Edwardsiella piscicida	271	
A0A037Y7Y9	unreviewed	LysM domain-containing protein	562	Escherichia coli	379	
A0A059KLL6	unreviewed	LysM domain-containing protein	1286631	Sphaerotilus natans subsp. natans DSM 6575	305	
